Karmn,Name,GJ,RA_J2016_deg,DE_J2016_deg,l_J2016_deg,b_J2016_deg,Ref01,SpT,SpTnum,Ref02,Teff_K,eTeff_K,logg,elogg,[Fe/H],e[Fe/H],Ref03,L_Lsol,eL_Lsol,R_Rsol,eR_Rsol,Ref04,M_Msol,eM_Msol,Massflag,Ref05,muRA_masa-1,emuRA_masa-1,muDE_masa-1,emuDE_masa-1,Ref06,pi_mas,epi_mas,Ref07,d_pc,ed_pc,Ref08,Vr_kms-1,eVr_kms-1,Ref09,U_kms-1,eU_kms-1,V_kms-1,eV_kms-1,W_kms-1,eW_kms-1,Ref10,sa_m/s/a,esa_m/s/a,Ref11,SKG,Ref12,Pop,Ref13,vsini_flag,vsini_kms-1,evsini_kms-1,Ref14,P_d,eP_d,Ref15,pEWHalpha_A,epEWHalpha_A,Ref16,log(LHalpha/Lbol),elog(LHalpha/Lbol),Ref17,1RXS,CRT_s-1,eCRT_s-1,HR1,eHR1,HR2,eHR2,Flux_X_E-13_ergcm-2s-1,eFlux_X_E-13_ergcm-2s-1,LX/LJ,eLX/LJ,Ref18,Activity,Ref19,FUV_mag,eFUV_mag,NUV_mag,eNUV_mag,Ref20,u_mag,eu_mag,Ref21,BT_mag,eBT_mag,Ref22,B_mag,eB_mag,Ref23,BP_mag,eBP_mag,Ref24,g_mag,eg_mag,Ref25,VT_mag,eVT_mag,Ref26,GG_mag,eGG_mag,Ref27,V_mag,eV_mag,Ref28,Ra_mag,Ref29,r_mag,er_mag,Ref30,RP_mag,eRP_mag,Ref31,i_mag,ei_mag,Ref32,IN_mag,Ref33,J_mag,eJ_mag,H_mag,eH_mag,Ks_mag,eKs_mag,QFlag_2MASS,Ref34,W1_mag,eW1_mag,W2_mag,eW2_mag,W3_mag,eW3_mag,W4_mag,eW4_mag,QFlag_WISE,Ref35,Multiplicity,Comp,WideWDS,Widerho_arcsec,eWiderho_arcsec,Ref36,WideCompanionName,WideCompanionSpT,CloseWDS,Closerho_arcsec,eCloserho_arcsec,Ref37,CloseCompanionSpT,RV,Planet,Ref38,PlanetNum,LoRes_spectrum,HiRes_spectrum,LoRes_imaging,HiRes_imaging,RA_J2000,DE_J2000,Ref39,SS,Class,Flags,Notes,Gaia_id_1,Gaia_id_2,2MASS_id
J03459+147,NLTT 11771,,56.478980574754715,14.713159465634133,173.67385278653012,-30.487993404641035,Gaia2,M1.5 V,1.5,Lep13,,,,,,,,,,,,,0.5839309,0.014239373,,Karmn,99.32,0.09,-265.15,0.06,Gaia2,27.61,0.04,Gaia2,36.22,0.06,Gaia2,2.47,0.38,Gaia2,2.97,0.33,-45.0,0.07,-18.31,0.2,CC19,0.05286488578826327,7.621308150508771E-4,Wolt17,,,D,CC19,,,,,43.720001220703125,,Rae20,-0.62,,Lep13,,,,,,,,,,,,,,,,,,,,20.759,0.204,GALEX,,,,,,,13.291,0.04,UCAC4,12.1329,0.0014,Gaia2,12.597,0.04,UCAC4,,,,11.0598,0.001,Gaia2,11.911,0.03,UCAC4,11.596,UCAC3,11.31,0.13,UCAC4,10.0685,0.0011,Gaia2,10.555,0.63,UCAC4,9.73,US-B1,8.772,0.021,8.081,0.021,7.916,0.018,AAA,2M,7.79,0.027,7.8,0.02,7.727,0.019,7.612,0.152,AAAB,WISE,Single,-,,,,,,,,,,,,,No,,0,,,,,,,2M,,Gamma,..F,,42793752764180736,,03455483+1442521
J03463+262,HD 23453,154,56.58577328078651,26.214660370916178,164.9298028428309,-22.05984181319932,Gaia2,M0.0 V,0.0,PMSU,3993.0,51.0,4.65,0.07,0.12,0.16,Schw19,0.07073,0.001028,0.5555,0.01475,Schw19,0.5621,0.01974,,Schw19,386.93,0.11,-196.43,0.08,Gaia2,69.45,0.06,Gaia2,14.4,0.01,Gaia2,35.58486347002142,0.018008534737785672,Lafa20,-42.02,0.02,-18.36,0.02,-6.41,0.02,CC19,0.062176712815490996,3.4110424520948255E-4,Wolt17,HS,CC19,YD,CC19,=,3.3,4.0,Rein18,,,,-0.092,0.005,Schf19,,,Schf19,J034619.5+261251,0.0366,0.0119,-0.65,0.23,1.0,2.69,1.78,0.58,0.27,0.11,1RXS,Flare?,Ger99,21.392,0.388,18.292,0.051,GALEX,,,,11.498,0.08,TYC2,11.073,0.01,UCAC4,9.843,0.0017,Gaia2,10.529,0.097,PS1,9.807,0.032,TYC2,8.8701,0.0012,Gaia2,9.58,0.01,UCAC4,9.03,UCAC3,9.0057,0.001,PS1,7.9211,0.0022,Gaia2,8.238,0.01,UCAC4,7.95,US-B1,6.689,0.021,6.046,0.018,5.844,0.018,AAA,2M,5.789,0.142,5.648,0.05,5.719,0.015,5.748,0.051,BAAA,WISE,Single,-,,,,,,,,,,,,CARMENES,No,,0,,CAFE FEROS,,FastCam [WD15],03:46:20.12,+26:12:56.0,2M,S3,Alpha,,,70051608089857536,,03462011+2612560
J03467+821,TYC 4521-1342-1,,56.67771962050958,82.13060459353751,128.77295047672234,21.33177052681969,Gaia2,M1.0 V,1.0,Lep13,,,,,,,,,,,,,0.59690446,0.015330441,,Karmn,83.98,0.06,-70.47,0.06,Gaia2,24.11,0.04,Gaia2,41.47,0.06,Gaia2,-20.15,0.42,Gaia2,-4.92,0.25,-28.28,0.31,-6.83,0.15,CC19,0.01070405349688453,5.496561055333748E-4,Wolt17,LA,CC19,D,CC19,,,,,,,,-0.52,,Lep13,,,,,,,,,,,,,,,,,,,,20.289,0.114,GALEX,15.394,0.005,SDSS9,13.67,0.313,TYC2,13.33,0.09,UCAC4,12.1991,0.0019,Gaia2,12.655,0.07,UCAC4,11.993,0.142,TYC2,11.1869,0.0011,Gaia2,11.898,0.05,UCAC4,11.581,UCAC3,11.306,0.05,UCAC4,10.2239,0.0013,Gaia2,10.504,0.04,UCAC4,10.14,US-B1,8.987,0.026,8.341,0.042,8.122,0.036,AAA,2M,7.999,0.024,8.03,0.02,7.929,0.019,7.932,0.172,AAAB,WISE,Single,-,,,,,,,,,,,,,No,,0,,,,,03:46:42.00,+82:07:51.2,2M,,Gamma,..F,,569992638932650240,,03464200+8207512
J03467-112,LP 713-028,3249,56.691757203689484,-11.29459322659693,200.61746189244923,-45.96235435707375,Gaia2,M2.5 V,2.5,PMSU,,,,,,,,,,,,,0.39560258,0.010612155,,Karmn,577.95,0.2,123.0,0.23,Gaia2,41.82,0.13,Gaia2,23.91,0.07,Gaia2,78.4,15.0,Haw96,-88.11,9.76,-52.3,3.67,-11.51,10.78,CC19,0.18031375414446035,0.004688315725636815,Wolt17,,,D,CC19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.21,0.07,UCAC4,12.9325,0.0023,Gaia2,13.396,0.03,UCAC4,,,,11.6223,7.0E-4,Gaia2,12.664,0.02,UCAC4,12.363,UCAC3,12.084,0.04,UCAC4,10.509,0.0014,Gaia2,10.906,0.02,UCAC4,10.16,US-B1,9.002,0.026,8.455,0.042,8.188,0.036,AAA,2M,8.077,0.023,7.904,0.02,7.801,0.019,7.696,0.167,AAAB,WISE,Single,-,,,,,,,,,,,,,No,,0,,,,,03:46:45.38,-11:17:42.3,2M,,Gamma,..F,,5115590415026701184,,03464538-1117422
J03473+086,LTT 11262,3250,56.83908148171748,8.693606004104632,179.1693138495701,-34.342853319411276,Gaia2,M4.5 V,4.5,PMSU,,,,,,,,,,,,,0.13779631,0.0033543736,,Karmn,469.33,0.21,-653.54,0.18,Gaia2,80.63,0.1,Gaia2,12.4,0.02,Gaia2,5.0,4.0,New14,-2.09,3.3,-47.02,0.07,-6.81,2.26,CC19,0.1837825926628876,0.008092108760891942,Wolt17,,,D,CC19,,,,,60.3,,Irw11,-0.056,0.047,New16b,,,,,,,,,,,,,,,,,,,,,,,18.435,0.015,SDSS9,,,,16.438,0.06,UCAC4,14.8219,0.0018,Gaia2,15.348,0.05,UCAC4,,,,12.9778,5.0E-4,Gaia2,14.582,0.04,UCAC4,14.625,UCAC3,13.916,0.01,UCAC4,11.692,8.0E-4,Gaia2,12.114,0.23,UCAC4,11.23,US-B1,9.849,0.019,9.272,0.029,9.022,0.022,AAA,2M,8.82,0.202,8.596,0.021,8.455,0.024,8.434,,BAAU,WISE,Single,-,,,,,,,,,,,,HARPS,No,,0,,,,FastCam (Astralux),03:47:20.91,+08:41:46.4,2M,,Gamma,..F,,3278325004913943808,,03472091+0841464
J03473-019,G 80-021,,56.848033363903056,-1.973387555223703,189.75031822835862,-40.96891958431861,Gaia2,M3.0 V,3.0,AF15a,3411.0,51.0,5.03,0.07,-0.17,0.16,Schw19,0.03172,5.08E-4,0.5097,0.01578,Schw19,0.5138,0.02026,,Schw19,180.67,0.1,-274.18,0.09,Gaia2,59.52,0.06,Gaia2,16.8,0.02,Gaia2,17.8760332208605,0.02093652070587782,Lafa20,-8.38,0.02,-27.96,0.02,-12.3,0.02,CC19,0.041751203928647194,2.3522751939288842E-4,Wolt17,AB Dor,Zuck04,YD,CC19,=,5.2,1.5,Rein18,3.87,0.01,DA19,-3.948,0.015,Schf19,-3.6727,0.0015999999595806003,Schf19,J034723.2-015807,0.459,0.0366,-0.25,0.07,0.04,0.13,32.06,2.56,13.56,1.31,1RXS,RV-loud,Sade20,,,,,,,,,,,,13.066,0.02,UCAC4,11.8615,0.0038,Gaia2,12.281,0.03,UCAC4,11.598,0.006,TYC2,10.4962,0.0012,Gaia2,11.559,0.07,UCAC4,11.173,UCAC3,10.957,0.06,UCAC4,9.3749,0.0018,Gaia2,9.777,0.03,UCAC4,13.02,US-B1,7.804,0.026,7.174,0.051,6.933,0.024,AAA,2M,6.812,0.062,6.659,0.021,6.624,0.016,6.452,0.065,AAAA,WISE,Single,-,,,,,,,,,,,,CARMENES+HARPS,No,,0,CAFOS,CAFE FEROS,,[AstraLux Dae07 Bil13],03:47:23.33,-01:58:19.5,2M,S2,Alpha,,30-50Ma Shk09. ABDor (81% Shk12.),3250328209054347264,,03472333-0158195
J03479+027,Ross 588,9133,56.99037473625492,2.7859894884259866,184.90862963221647,-38.0152684051679,Gaia2,M0.5 V,0.5,PMSU,,,,,,,,,,,,,0.4625209,0.010825599,,Karmn,-394.68,0.08,-425.03,0.06,Gaia2,56.96,0.05,Gaia2,17.56,0.01,Gaia2,,,,,,,,,,,0.13556404235062305,9.762901625273583E-4,Wolt17,,,,,=,2.93,0.3,Hou10,,,,0.4,0.09,Gai14,,,,,,,,,,,,,,,,,,,,20.632,0.163,GALEX,,,,13.057,0.35,TYC2,12.565,0.02,UCAC4,11.304,7.0E-4,Gaia2,11.819,0.03,UCAC4,11.239,0.099,TYC2,10.2273,4.0E-4,Gaia2,11.053,0.04,UCAC4,10.637,UCAC3,10.415,0.12,UCAC4,9.2317,5.0E-4,Gaia2,9.6,0.04,UCAC4,9.38,US-B1,7.964,0.026,7.382,0.057,7.11,0.018,AAA,2M,6.958,0.042,6.86,0.02,6.815,0.017,6.715,0.096,AAAA,WISE,SB2?,-,,,,,,,,,,Fou18,,HARPS,No,,0,,,,,03:47:58.09,+02:47:16.2,2M,,Delta,..F,,3270590765246119168,,03475809+0247161
J03480+686,BD+68 278B,153B,57.008613928628066,68.67855528332454,137.88860922253016,11.103499378063335,Gaia2,M1.5 V+,1.5,PMSU,,,,,,,,,,,,,,,,,132.0,1.17,260.2,1.16,Gaia2,52.34,0.65,Gaia2,19.11,0.24,Gaia2,,,,,,,,,,,0.029530125728998078,0.001661570672960767,Wolt17,,,,,=,1.4,0.3,Hou10,,,,0.389,,PMSU,,,,,0.04953,0.01144,-0.39,0.21,,,3.09,0.71,0.88,0.26,PSPC/ROSAT,,,,,,,,,,,12.176,0.09,TYC2,12.282,0.18,UCAC4,10.971,0.0051,Gaia2,11.559,0.01,UCAC4,10.658,0.035,TYC2,10.4054,0.0066,Gaia2,10.806,0.17,UCAC4,10.217,UCAC3,10.232,0.06,UCAC4,8.7706,0.0033,Gaia2,9.4108,0.0946,PS1,9.06,US-B1,7.379,0.021,6.798,0.018,6.572,0.017,AAA,2M,6.345,0.031,6.218,0.019,6.206,0.013,6.163,0.044,AAAA,WISE*,Wide + Resolved Physical,Bab,WNO16,17.00,,,BD 68+278A,K2.0 V,KUI13,0.44,,Malk12,,,No,,0,,,,,03:48:01.74,+68:40:38.9,2M,SX,Delta,B..,#,493650660396520064,,03480174+6840388
J03486+735,LP 031-218,3248,57.16533599706011,73.54194982634803,134.74743029998234,14.883845617500588,Gaia2,M1.0 V,1.0,PMSU,,,,,,,,,,,,,0.41892004,0.010495711,,Karmn,400.18,0.04,-268.88,0.04,Gaia2,62.7,0.03,Gaia2,15.95,0.01,Gaia2,-7.96,0.26,Gaia2,-19.62,0.18,-31.69,0.18,1.72,0.07,CC19,0.08426848890981099,4.801085094428284E-4,Wolt17,,,D,CC19,,,,,,,,0.31,0.05,Gai14,,,,,,,,,,,,,,,,,,,,,,,,,,13.21,0.257,TYC2,12.683,0.15,UCAC4,11.5447,9.0E-4,Gaia2,12.044,0.04,UCAC4,11.236,0.068,TYC2,10.3952,5.0E-4,Gaia2,11.188,0.08,UCAC4,10.77,UCAC3,10.651,0.07,UCAC4,9.364,0.001,Gaia2,9.674,0.04,UCAC4,9.36,US-B1,7.994,0.024,7.355,0.031,7.166,0.029,AAA,2M,7.021,0.047,6.907,0.021,6.848,0.017,6.696,0.059,AAAA,WISE,Single,-,,,,,,,,,,,,,No,,0,,,,,03:48:38.22,+73:32:35.2,2M,,Gamma,..F,,543789661932658432,,03483822+7332352
J03505+634,G 246-050,3251,57.64037175873877,63.4541617107426,141.4326799207,7.214770768997542,Gaia2,M1.5 V,1.5,PMSU,,,,,,,,,,,,,0.69566363,0.018123657,,Karmn,-8.41,0.06,-231.0,0.05,Gaia2,25.29,0.04,Gaia2,39.54,0.06,Gaia2,-19.51,0.4,Gaia2,-4.56,0.31,-29.8,0.25,-36.73,0.07,CC19,0.04766183598500207,5.586665753663441E-4,Wolt17,,,D,CC19,,,,,,,,0.33,0.13,Gai14,,,,,,,,,,,,,,,,,,,,,,,,,,13.154,0.224,TYC2,12.946,0.1,UCAC4,11.6527,8.0E-4,Gaia2,12.208,0.06,UCAC4,11.745,0.106,TYC2,10.5467,5.0E-4,Gaia2,11.401,0.04,UCAC4,10.909,UCAC3,10.792,0.02,UCAC4,9.5307,8.0E-4,Gaia2,9.854,0.05,UCAC4,10.33,US-B1,8.192,0.023,7.495,0.021,7.337,0.031,AAA,2M,7.18,0.037,7.214,0.02,7.142,0.017,7.048,0.087,AAAA,WISE,Single,-,,,,,,,,,,,,,No,,0,,,,,03:50:33.68,+63:27:18.7,2M,,Gamma,..F,,487186081785899648,,03503368+6327187
J03507-060,GJ 1065,1065,57.6826095476262,-6.100800626721694,194.98666330562043,-42.54291004014759,Gaia2,M3.5 V,3.5,PMSU,,,,,,,,,,,,,0.19899869,0.0048136194,,Karmn,-445.44,0.15,-1371.12,0.15,Gaia2,100.56,0.1,Gaia2,9.94,0.01,Gaia2,-9.05,0.1,Jeff18,51.62,0.08,-31.74,0.05,-32.01,0.07,CC19,0.4536614440689325,0.013860116643114302,Wolt17,,,D,CC19,<,3.0,,Jeff18,,,,0.08,0.08,Schf15,,,,,,,,,,,,,,,,,,,,,,,16.215,0.007,SDSS9,,,,14.523,0.04,UCAC4,13.0861,0.0012,Gaia2,13.637,0.07,UCAC4,,,,11.4561,0.0016,Gaia2,12.843,0.02,UCAC4,12.474,UCAC4,12.184,0.02,UCAC4,10.2671,0.001,Gaia2,10.702,0.04,UCAC4,10.0,US-B1,8.57,0.032,7.998,0.057,7.751,0.02,AAA,2M,7.5,0.028,7.344,0.021,7.24,0.017,7.182,0.103,AAAA,WISE,Single,-,,,,,,,,,,,,HARPS,No,,0,,FEROS,,FastCam,03:50:44.32,-06:05:40.0,2M,S2,Beta,..f,,3243715604392800512,,03504432-0605400
J03510+142,2MASS J03510078+1413398,,57.75361503231568,14.227427123080076,175.07086728179317,-29.93864856774463,Gaia2,M4.5 V,4.5,AF15a,,,,,,,,,,,,,0.5116334,0.012305571,,Karmn,71.09,0.18,-74.84,0.12,Gaia2,25.2,0.09,Gaia2,39.68,0.15,Gaia2,18.0,5.0,Terr15,-17.21,4.32,-18.0,0.38,-8.99,2.5,CC19,0.0034047415808986527,2.1626234141583386E-4,Wolt17,LA,CC19,YD,CC19,,,,,,,,-13.4,0.6,AF15a,,,,J035101.5+141404,0.149,0.0223,-0.35,0.13,0.02,0.25,9.62,1.44,18.28,3.37,1RXS*,,,,,20.179,0.155,GALEX,,,,,,,15.506,0.06,UCAC4,14.201,0.0046,Gaia2,14.657,0.03,UCAC4,,,,12.5073,0.001,Gaia2,13.956,0.03,UCAC4,13.804,UCAC3,13.321,0.02,UCAC4,11.2521,0.002,Gaia2,11.721,0.02,UCAC4,10.87,US-B1,9.436,0.023,8.754,0.024,8.579,0.02,AAA,2M,8.405,0.023,8.201,0.02,8.072,0.023,8.575,0.437,AAAC,WISE,Wide,A,JLM1,29.80,,,2M J03505949+1414017,M4.4 V,,,,,,,No,,0,CAFOS,,TCP,,03:51:00.79,+14:13:39.9,2M,,Gamma,..F,#,39527339939738112,,03510078+1413398
J03510-008,LP 593-068,3252,57.75016176747853,-0.8811686155674433,189.26255625738708,-39.60223534977566,Gaia2,M6.0 V,6.0,PMSU,,,,,,,,,,,,,0.10086239,0.0024935293,,Karmn,11.08,0.26,-470.18,0.21,Gaia2,68.03,0.19,Gaia2,14.7,0.04,Gaia2,-11.9,2.0,Des12,24.96,1.52,-23.45,0.26,-6.55,1.28,CC19,0.07099662974995498,0.002598750400618489,Wolt17,,,D,CC19,<,12.0,,Des12,,,,-6.86,,PMSU,,,,,,,,,,,,,,,,Flare?,Ger99,,,,,,20.146,0.046,SDSS9,,,,,,,18.3121,0.0116,Gaia2,18.929,0.009,SDSS9,,,,15.3422,7.0E-4,Gaia2,,,,,,17.305,0.005,SDSS9,13.8269,0.0032,Gaia2,14.703,0.004,SDSS9,13.69,US-B1,11.302,0.024,10.609,0.022,10.232,0.023,AAA,2M,9.968,0.023,9.758,0.021,9.587,0.04,8.604,,AAAU,WISE*,Single,-,,,,,,,,,,,,HARPS,No,,0,,,,,03:51:00.05,-00:52:45.3,2M,,Gamma,..F,,3257243312560240000,,03510004-0052452
J03519+397,TYC 2868-639-1,,57.99244020093167,39.78218019929659,156.63186882500213,-10.99507320534636,Gaia2,M0.0 V,0.0,AF15a,,,,,,,,,,,,,0.61415577,0.015381162,,Karmn,28.32,0.07,-57.6,0.05,Gaia2,30.9,0.04,Gaia2,32.36,0.04,Gaia2,17.66,0.59,Gaia2,-18.79,0.53,-1.69,0.23,-7.27,0.11,CC19,0.0029308244829662,5.639387758761729E-5,Wolt17,,,D,CC19,,,,,,,,0.0,0.4,AF15a,,,,J035158.7+394707,0.0371,0.0141,-0.17,0.34,0.57,0.4,2.75,1.04,1.8,0.81,1RXS*,,,,,,,,,,,12.234,0.146,TYC2,12.414,0.05,UCAC4,11.2838,0.0012,Gaia2,11.771,0.04,UCAC4,11.023,0.071,TYC2,10.3837,6.0E-4,Gaia2,11.025,0.03,UCAC4,10.538,UCAC4,10.458,0.03,UCAC4,9.4701,0.0011,Gaia2,9.814,0.05,UCAC4,9.79,US-B1,8.277,0.021,7.629,0.051,7.466,0.029,AAA,2M,7.372,0.034,7.377,0.019,7.333,0.018,7.469,0.18,AAAB,WISE,Wide,B,GRC197,53.80,,,HD 275867,K5.0 V,,,,,,,No,,0,CAFOS,,,,03:51:58.15,+39:46:56.8,2M,,Gamma,..F,,223983442137333376,,03515814+3946568
J03526+170,Wolf 227,3253,58.175916372047645,17.015046210212184,173.10282177438162,-27.710624349476532,Gaia2,M4.5 V+,4.5,PMSU,,,,,,,,,,,,,,,,,433.2,0.27,-645.62,0.17,Gaia2,103.38,0.13,Gaia2,9.67,0.01,Gaia2,,,,,,,,,,,0.1358774647118856,0.006278268321397967,Wolt17,,,,,<,3.0,,Jeff18,78.8,7.9,Irw11,-0.76,0.11,Schf15,,,,,0.0098,0.0021,,,,,0.61,0.13,0.73,0.16,PSPC/ROSAT,Flare?,Ger99,,,,,,,,,,,,15.592,0.06,UCAC4,14.0954,0.0039,Gaia2,14.573,0.03,UCAC4,,,,12.1893,6.0E-4,Gaia2,13.855,0.05,UCAC4,13.46,UCAC4,13.195,0.02,UCAC4,10.888,0.0017,Gaia2,11.397,0.11,UCAC4,10.34,US-B1,8.933,0.027,8.375,0.026,8.053,0.023,AAA,2M,7.873,0.026,7.679,0.02,7.528,0.019,7.312,0.123,AAAB,WISE,SB2 (SB1),AB,,,,,,,,,,Bon13 (Jeff18),,HARPS,No,,0,,FEROS BIS+002d,,FastCam (Astralux),03:52:41.69,+17:01:05.7,2M,SX,Delta,S..,,43574131143039104,,03524169+1701056
J03531+625,Ross 567,,58.2937776511703,62.56774872913671,142.2306257130416,6.718496293082611,Gaia2,M3.0 V,3.0,Lep13,3488.0,51.0,4.93,0.07,-0.04,0.16,Schw19,0.01667,2.83E-4,0.3534,0.01076,Schw19,0.3489,0.01493,,Schw19,31.77,0.08,-269.18,0.08,Gaia2,81.15,0.05,Gaia2,12.32,0.01,Gaia2,-120.3186652386262,0.025010824770707703,Lafa20,86.42,0.02,-81.47,0.02,-24.92,0.01,CC19,0.02072935269860706,1.8036437249116763E-4,Wolt17,,,TD,CC19,<,2.0,,Rein18,,,,0.06,0.008,Schf19,,,Schf19,,,,,,,,,,,,,,,,,,,,,,,13.838,0.374,TYC2,13.065,0.06,UCAC4,11.7657,0.0016,Gaia2,12.261,0.04,UCAC4,11.837,0.142,TYC2,10.427,8.0E-4,Gaia2,11.496,0.05,UCAC4,11.109,UCAC3,10.857,0.07,UCAC4,9.321,0.0012,Gaia2,9.657,0.06,UCAC4,9.96,US-B1,7.782,0.021,7.278,0.021,6.997,0.027,AAA,2M,6.855,0.062,6.686,0.022,6.658,0.016,6.552,0.061,AAAA,WISE,Single,-,,,,,,,,,,,,CARMENES,No,,0,,CAFE,,FastCam,03:53:10.42,+62:34:08.2,2M,S2,Alpha,,,474987206428439936,,03531041+6234081
J03543-146,2MASS J03542008-1437388,,58.583415720953816,-14.627010876277849,206.07818365416472,-45.75197630779187,Gaia2,M6.5 V,6.5,Cru03,,,,,,,,,,,,,0.11819881,0.0030953714,,Karmn,-64.95,0.79,85.77,0.65,Gaia2,52.46,0.65,Gaia2,19.06,0.24,Gaia2,9.9,2.0,Des12,-8.95,1.26,6.16,0.62,-8.63,1.43,CC19,0.004375112105745129,6.307719138374508E-4,Wolt17,,,D,CC19,=,23.2,2.0,Des12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.242,0.0158,Gaia2,18.6208,0.009,PS1,,,,15.3976,0.0041,Gaia2,,,,,,17.2323,0.0079,PS1,13.8393,0.0041,Gaia2,14.7063,0.0029,PS1,,,11.339,0.024,10.73,0.022,10.334,0.021,AAA,2M,10.114,0.023,9.903,0.02,9.639,0.045,8.685,,AAAU,WISE,Single,-,,,,,,,,,,,,,No,,0,,,,,03:54:20.09,-14:37:38.8,2M,,Gamma,.mF,,5110641513191522304,,03542008-1437388
J03544-091,StKM 1-430,3256,58.60633789659098,-9.158117704650772,199.22333050839188,-43.29206921006569,Gaia2,M1.0 V,1.0,PMSU,,,,,,,,,,,,,0.5523495,0.013530944,,Karmn,-95.44,0.06,110.84,0.05,Gaia2,47.39,0.04,Gaia2,21.1,0.02,Gaia2,,,,,,,,,,,0.010954069070573875,2.3046481414286965E-4,Wolt17,,,,,,,,,,,,0.284,,PMSU,,,,J035425.3-090915,0.058,0.0159,-0.5,0.21,1.0,1.23,3.28,0.9,1.4,0.47,1RXS,,,21.217,0.287,19.659,0.086,GALEX,,,,,,,12.744,0.06,UCAC4,11.6847,0.0029,Gaia2,11.985,0.06,UCAC4,,,,10.5351,6.0E-4,Gaia2,11.166,0.12,UCAC4,10.854,UCAC3,10.541,0.05,UCAC4,9.502,0.0015,Gaia2,9.566,0.12,UCAC4,8.79,US-B1,7.817,0.026,7.198,0.034,6.95,0.023,AAA,2M,6.626,0.039,6.591,0.021,6.58,0.015,6.489,0.069,AAAA,WISE,Single,-,,,,,,,,,,,,HARPS,No,,0,,,,,03:54:25.62,-09:09:31.6,2M,,Delta,..F,,3194816237789820544,3194816237788234496,03542561-0909316
J03548+163,LP 413-108,,58.722353280577664,16.31552394856917,174.08230376232495,-27.821044859878587,Gaia2,M4.0 V,4.0,AF15a,,,,,,,,,,,,,0.47041583,0.011395496,,Karmn,134.28,0.28,-22.68,0.21,Gaia2,22.73,0.15,Gaia2,43.99,0.3,Gaia2,39.0,3.0,Terr15,-44.53,2.64,-18.29,0.31,-3.21,1.41,CC19,0.009669708165602248,5.087538812614675E-4,Wolt17,HS,CC19,YD,CC19,=,12.5,1.0,Sta97,,,,-8.6,0.7,AF15a,,,,J035453.6+161912,0.109,0.0206,-0.2,0.16,0.01,0.26,7.9,1.49,24.34,5.42,1RXS*,,,20.334,0.176,19.044,0.05,GALEX,17.51,0.01,SDSS9,,,,15.892,0.06,UCAC4,14.5782,0.0043,Gaia2,15.04,0.06,UCAC4,,,,12.9575,0.001,Gaia2,14.312,0.06,UCAC4,14.095,UCAC3,13.744,0.06,UCAC4,11.7271,0.0022,Gaia2,12.159,0.07,UCAC4,11.18,US-B1,9.96,0.024,9.367,0.022,9.056,0.02,AAA,2M,8.938,0.023,8.775,0.019,8.672,0.03,8.733,0.487,AAAC,WISE,Single,-,,,,,,,,,,,,HARPS,No,,0,CAFOS,,,(Astralux),03:54:53.20,+16:18:56.4,2M,,Gamma,..F,[SpT DA SIMBAD] Hyades?,40470720915966208,,03545319+1618563
J03565+319,HAT 214-02089,,59.13854766751906,31.95661479634319,162.63750734914487,-16.29301182942033,Gaia2,M3.5 V,3.5,AF15a,,,,,,,,,,,,,0.52299935,0.012465714,,Karmn,123.15,0.13,-65.02,0.08,Gaia2,20.62,0.06,Gaia2,48.5,0.14,Gaia2,29.0,6.0,Terr15,-37.94,5.5,-20.65,1.72,-0.57,1.68,CC19,0.011266579515665731,5.317762355495799E-4,Wolt17,HS,CC19,YD,CC19,,,,,5.85,,Har11,-4.7,0.6,AF15a,,,,J035632.5+315746,0.0928,0.0182,-0.21,0.18,0.02,0.29,6.68,1.31,17.67,4.19,1RXS*,,,,,,,,,,,,,,15.513,0.09,UCAC4,14.2629,0.0033,Gaia2,14.701,0.11,UCAC4,,,,12.7333,5.0E-4,Gaia2,13.946,0.09,UCAC4,13.909,UCAC3,13.369,0.11,UCAC4,11.5329,0.0015,Gaia2,11.939,0.06,UCAC4,11.05,US-B1,9.795,0.021,9.188,0.019,8.944,0.017,AAA,2M,8.836,0.023,8.681,0.019,8.546,0.026,8.422,0.355,AAAB,WISE,Single,-,,,,,,,,,,,,,No,,0,CAFOS,,,(Astralux),03:56:33.08,+31:57:24.8,2M,,Gamma,..F,#rotationally variable star,168774798644094592,,03563308+3157248
